genus,species_epithet,taxon_authorship,morphology_sources,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,notes
Tricolporopollenites,kruschii,(Potonié) Thomson & Pflug 1953,Thomson & Pflug 1953,5,?,?,0,0,1,?,1,?,–,?,?,1,0,–,5,?,?,?,0,–,–,?,?,–,–,–,–,–,cavernae
Triporopollenites,granilabratus,(Stanley 1965) Nichols & Brown 1992,Stanley 1965; Nichols & Brown 1992,9,0,0,0,0,1,1,2,?,–,1,?,1,1,4,0,?,?,–,0,–,–,1,3,0,0,0,0,0,
Triporopollenites,mullensis,(Simpson) Rouse & Srivastava 1972,Simpson 1961,9,0,0,0,0,2,?,?,?,–,?,?,1,?,?,0,?,?,?,?,?,–,1,?,?,?,?,?,?,sometimes four pores; subspecies with different equatorial diameters
Triporopollenites,plektosus,Anderson 1960,Anderson 1960,9,0,0,0,0,1,1,1,1,–,0,?,1,?,?,0,?,?,–,?,?,–,1,0,0,0,0,0,0,
Triporopollenites,triplicatus,(Anderson 1960) Nichols 2002,Anderson 1960,9,0,0,0,0,2,1,2,?,–,0,?,1,?,?,0,?,?,–,0,–,–,1,0,0,0,0,0,0,
Triprojectus,unicus,(Chlonova 1961) Mchedlishvili 1961,Chlonova 1961,4,0,?,0,0,2,2,5,2,2,?,?,1,1,5,?,?,?,?,1,4,1,2,?,–,–,–,–,–,
Tschudypollis,retusus,(Anderson 1960) Nichols 2002,Anderson 1960,9,0,0,0,0,2,1,2,?,–,1,?,1,1,1,6,?,?,?,0,–,–,1,0,0,0,0,0,0,
Ulmipollenites,hebridicus,(Simpson 1961),Sweet 1986,A,0,0,0,0,4,1,2,?,–,?,?,1,?,?,6,?,?,?,0,–,–,1,?,?,1,?,?,?,In Sweet (1986) as Ulmoideipites hebridicus
Ulmipollenites,krempii,(Anderson 1960) Frederiksen 1979,Anderson 1960,A,0,0,0,0,4,1,2,?,–,0,?,1,?,?,1,?,?,–,0,–,–,1,0,0,1,0,0,0,
Ulmipollenites,planaeriformis,Anderson 1960,Lupia 1999,A,0,0,0,0,4,1,2,?,–,0,?,1,?,?,1,?,?,–,?,?,–,1,0,0,1,0,0,0,in Lupia (1999) as Umipollenites planeraeformis
Wodehouseia,avita,Wiggins 1976,Wiggins 1976,A,4,0,0,0,0,2,2,2,–,?,?,1,1,6,6,?,?,?,?,?,–,0,?,?,?,1,?,?,
Wodehouseia,fimbriata,Stanley 1961,Lupia 1999,A,4,0,0,0,0,2,2,1,–,?,?,1,?,?,?,?,?,?,?,?,–,0,?,?,?,?,?,?,
Wodehouseia,gracile,(Samoilovich 1961) Pokravskaya 1966,Pokravskaya 1966,A,4,0,0,0,0,2,?,?,–,?,?,1,?,?,6,?,1,?,1,4,–,0,?,?,?,0,?,?,supratectal sculpture of projections with rounded ends = baculate?
Wodehouseia,octospina,Wiggins 1976,Wiggins 1976,A,4,0,0,0,0,2,2,2,–,?,?,1,0,–,6,?,?,?,1,4,–,0,?,?,?,0,?,?,
Wodehouseia,quadrispina,Wiggins 1976,Wiggins 1976,A,4,0,0,0,0,2,2,2,–,?,?,1,0,–,6,?,?,?,1,4,–,0,?,?,?,0,?,?,
Wodehouseia,spinata,Stanley 1961,Lupia 1999,A,4,0,0,0,0,2,2,?,–,?,0,1,1,1,6,?,1,0,1,5,–,?,?,?,?,?,?,?,
Wodehouseia,vestivirgata,Wiggins 1976,Wiggins 1976,A,4,0,0,0,0,2,2,2,–,?,?,1,?,?,6,?,?,?,?,?,–,0,?,?,?,1,?,?,supratectal baculate sculpture?
Zonosulcites,scollardensis,Srivastava 1969,Srivastava 1969d,B,–,0,0,0,?,2,2,1,–,?,?,1,0,–,?,?,?,?,?,?,–,0,?,–,–,–,–,–,ornamentation acc. to Srivastava retipilate
